"country","gini","pct_unionized"
"ICE","24.37306701","85.5 "
"NO","25.2","52.1 "
"DEN","25.39","66.8 "
"SLV","25.5470453","21.2 "
"FN","25.735","69.0 "
"CZ","26.16899727","12.7 "
"BEL","26.75199686","55.1 "
"SVK","26.91359694","13.3 "
"AUT","27.96277636","27.8 "
"SWE","28.0804","67.7 "
"LUX","28.14576261","32.8 "
"NED","28.3","17.8 "
"HU","28.767","10.5 "
"GE","29.215","18.1 "
"FR","29.4","7.7 "
"SWZ","29.5402653","16.2 "
"POL","29.97268518","12.7 "
"SK","30.23756836","10.1 "
"IR","30.90000212","29.6 "
"CA","32.18378515","27.1 "
"IT","32.54833407","37.3 "
"JP","33","17.8 "
"NZ","33.3","19.8 "
"AUS","33.7","17.0 "
"POR","34.15638896","18.9 "
"GR","34.32115027","21.5 "
"SP","34.59415976","16.9 "
"UK","35.8","25.8 "
"EST","36.10388952","5.7 "
"IS","36.45","22.8 "
"TU","39.3","6.3 "
"US","39.381632","10.8 "
"MX","45.93388","13.6 "
"CHL","46.5","15.0 "
